"stop_id","stop_name","stop_desc","stop_lon","stop_lat"
"90321","Somerton","Not Shady   ",-75.0119444,40.1305556
"90802","Highland","Not Shady   ",-75.2111111,40.0705556
"90531","Lansdale","Not Shady   ",-75.285,40.2427778
"90712","Wister","Not Shady  Energy Bill Help within a mile",-75.1611111,40.0361111
"90205","Marcus Hook","Not Shady   ",-75.4194444,39.8216667
"90808","Chelten Avenue","Kind of Shady   ",-75.1808333,40.03
"90504","Exton","Not Shady   ",-75.6227778,40.0191667
"90325","Woodbourne","Not Shady   ",-74.8891667,40.1925
"90402","Airport Terminal C D","Not Shady   ",-75.24,39.8780556
"90704","Croydon","Not Shady   ",-74.9066667,40.0936111
"90505","Malvern","Not Shady   ",-75.5155556,40.0363889
"90405","Eastwick","Not Shady   ",-75.2438889,39.8927778
"90327","West Trenton","Not Shady   ",-74.8152778,40.2577778
"90211","Prospect Park - Moore","Not Shady   ",-75.3088889,39.8883333
"90815","Fox Chase","Not Shady   ",-75.0833333,40.0763889
"90517","Haverford","Not Shady   ",-75.2997222,40.0138889
"90408","Melrose Park","Not Shady   ",-75.1291667,40.0594444
"90302","Media","Not Shady   ",-75.395,39.9144444
"90326","Yardley","Not Shady   ",-74.8305556,40.2352778
"90516","Bryn Mawr","Not Shady   ",-75.3163889,40.0219444
"90529","North Wales","Not Shady   ",-75.2772222,40.2141667
"90805","Carpenter","Not Shady   ",-75.1913889,40.0511111
"90808","Chelten Avenue","Kind of Shady Housing Help within a mile, Neighborhood Advisory Committee within a mileEnergy Bill Help  within half a mile",-75.1808333,40.03
"90228","Norristown - Elm Street","Not Shady   ",-75.345,40.1208333
"90008","North Broad","Not Shady   ",-75.1538889,39.9922222
"91004","30th St Lower Level","Decently Shady , Neighborhood Advisory Committee within a mileEnergy Bill Help within a mile",-75.1883333,39.9591667
"90404","Airport Terminal A","Not Shady   ",-75.2452778,39.8761111
"90803","St. Martins","Not Shady   ",-75.2044444,40.0658333
"90215","Sharon Hill","Not Shady   ",-75.2708333,39.9044444
"90512","St. Davids","Not Shady   ",-75.3725,40.0438889
"90306","Morton-Rutledge","Not Shady   ",-75.3288889,39.9077778
"90325","Woodbourne","Not Shady   ",-74.8891667,40.1925
"90203","Wilmington","Not Shady   ",-75.5511111,39.7372222
"90521","Merion","Not Shady   ",-75.2513889,39.9986111
"90706","Cornwells Heights","Not Shady   ",-74.9522222,40.0716667
"90410","Jenkintown Wyncote","Not Shady   ",-75.1375,40.0927778
"90202","Churchman's Crossing","Not Shady   ",-75.6725,39.695
"90221","Manayunk","Not Shady   ",-75.225,40.0269444
"90814","Ryers","Not Shady   ",-75.0863889,40.0641667
"90532","Fortuna","Not Shady   ",-75.2661111,40.2594444
"90414","Crestmont","Not Shady   ",-75.1186111,40.1333333
"90213","Glenolden","Not Shady   ",-75.29,39.8963889
"90314","49th Street","Not Shady   ",-75.2166667,39.9436111
"90412","Ardsley","Not Shady   ",-75.1530556,40.1141667
"90713","Germantown","Not Shady   ",-75.1716667,40.0375
"90321","Somerton","Not Shady   ",-75.0119444,40.1305556
"90411","Glenside","Not Shady   ",-75.1536111,40.1013889
"90416","Hatboro","Not Shady   ",-75.1025,40.1761111
"90718","Wyndmoor","Not Shady   ",-75.1966667,40.0733333
"90401","Airport Terminal E F","Not Shady   ",-75.2397222,39.8794444
"90809","Queen Lane","Not Shady  Energy Bill Help within a mile",-75.1780556,40.0233333
"90009","Wayne Junction","Not Shady   ",-75.16,40.0222222
"90719","Gravers","Not Shady   ",-75.2016667,40.0775
"90311","Lansdowne","Not Shady   ",-75.2708333,39.9375
"90220","Wissahickon","Not Shady   ",-75.2102778,40.0166667
"90407","Fern Rock T C","Not Shady Housing Help within a mile, Neighborhood Advisory Committee within a mileEnergy Bill Help within a mile",-75.1347222,40.0405556
"90512","St. Davids","Not Shady   ",-75.3725,40.0438889
"90217","Darby","Not Shady   ",-75.2544444,39.9130556
"90715","Stenton","Not Shady   ",-75.1786111,40.0605556
"90809","Queen Lane","Not Shady  Energy Bill Help within a mile",-75.1780556,40.0233333
"90506","Paoli","Not Shady   ",-75.4827778,40.0430556
"90807","Tulpehocken","Not Shady  Energy Bill Help within a mile",-75.1869444,40.0352778
"90815","Fox Chase","Not Shady   ",-75.0833333,40.0763889
"90204","Claymont","Not Shady   ",-75.4522222,39.7977778
"90218","Allegheny","Not Shady   ",-75.1647222,40.0036111
"90510","Strafford","Not Shady   ",-75.4030556,40.0494444
"90318","Bethayres","Not Shady   ",-75.0683333,40.1166667
"90814","Ryers","Not Shady   ",-75.0863889,40.0641667
"90508","Berwyn","Not Shady   ",-75.4422222,40.0480556
"90219","East Falls","Decently Shady   ",-75.1919444,40.0113889
"90811","Olney","Not Shady   ",-75.1227778,40.0333333
"90520","Narberth","Not Shady   ",-75.2613889,40.0047222
"90536","New Britain","Not Shady   ",-75.1797222,40.2975
"90216","Curtis Park","Not Shady   ",-75.265,39.9080556
"90003","Wynnefield Avenue","Not Shady   ",-75.2255556,39.99
"90811","Olney","Not Shady  Energy Bill Help within a mile",-75.1227778,40.0333333
"90705","Eddington","Not Shady   ",-74.9336111,40.0830556
"90326","Yardley","Not Shady   ",-74.8305556,40.2352778
"90307","Secane","Not Shady   ",-75.3097222,39.9158333
"90403","Airport Terminal B","Not Shady   ",-75.2413889,39.8772222
