the_geom,cartodb_id,id,geographic_area_name,total
,91,1500000US421010028012,"Block Group 2, Census Tract 28.01, Philadelphia County, Pennsylvania",1366
,92,1500000US421010028013,"Block Group 3, Census Tract 28.01, Philadelphia County, Pennsylvania",1479
,93,1500000US421010028021,"Block Group 1, Census Tract 28.02, Philadelphia County, Pennsylvania",1056
,94,1500000US421010028022,"Block Group 2, Census Tract 28.02, Philadelphia County, Pennsylvania",943
,95,1500000US421010028023,"Block Group 3, Census Tract 28.02, Philadelphia County, Pennsylvania",1119
,96,1500000US421010028024,"Block Group 4, Census Tract 28.02, Philadelphia County, Pennsylvania",992
,97,1500000US421010028025,"Block Group 5, Census Tract 28.02, Philadelphia County, Pennsylvania",1429
,98,1500000US421010029001,"Block Group 1, Census Tract 29, Philadelphia County, Pennsylvania",1461
,99,1500000US421010029002,"Block Group 2, Census Tract 29, Philadelphia County, Pennsylvania",701
,100,1500000US421010029003,"Block Group 3, Census Tract 29, Philadelphia County, Pennsylvania",1979
,101,1500000US421010030011,"Block Group 1, Census Tract 30.01, Philadelphia County, Pennsylvania",802
,102,1500000US421010030012,"Block Group 2, Census Tract 30.01, Philadelphia County, Pennsylvania",778
,103,1500000US421010030013,"Block Group 3, Census Tract 30.01, Philadelphia County, Pennsylvania",1107
,104,1500000US421010030014,"Block Group 4, Census Tract 30.01, Philadelphia County, Pennsylvania",1266
,105,1500000US421010030015,"Block Group 5, Census Tract 30.01, Philadelphia County, Pennsylvania",711
,106,1500000US421010030021,"Block Group 1, Census Tract 30.02, Philadelphia County, Pennsylvania",929
,107,1500000US421010030022,"Block Group 2, Census Tract 30.02, Philadelphia County, Pennsylvania",808
,108,1500000US421010030023,"Block Group 3, Census Tract 30.02, Philadelphia County, Pennsylvania",625
,109,1500000US421010030024,"Block Group 4, Census Tract 30.02, Philadelphia County, Pennsylvania",838
,110,1500000US421010031001,"Block Group 1, Census Tract 31, Philadelphia County, Pennsylvania",944
,111,1500000US421010031002,"Block Group 2, Census Tract 31, Philadelphia County, Pennsylvania",534
,112,1500000US421010031003,"Block Group 3, Census Tract 31, Philadelphia County, Pennsylvania",617
,113,1500000US421010031004,"Block Group 4, Census Tract 31, Philadelphia County, Pennsylvania",938
,114,1500000US421010031005,"Block Group 5, Census Tract 31, Philadelphia County, Pennsylvania",866
,115,1500000US421010031006,"Block Group 6, Census Tract 31, Philadelphia County, Pennsylvania",538
,116,1500000US421010032001,"Block Group 1, Census Tract 32, Philadelphia County, Pennsylvania",800
,117,1500000US421010032002,"Block Group 2, Census Tract 32, Philadelphia County, Pennsylvania",548
,118,1500000US421010032003,"Block Group 3, Census Tract 32, Philadelphia County, Pennsylvania",1109
,119,1500000US421010032004,"Block Group 4, Census Tract 32, Philadelphia County, Pennsylvania",900
